Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-28T05:42:41.701Z","Included","auto","No","1528","0","240896","878","243302","Included"
"2026-01-28T05:40:30.195Z","Included","auto","No","5394","0","488960","3527","497881","Included"
"2026-01-28T05:37:24.284Z","Included","auto","No","3720","0","321792","1409","326921","Included"
"2026-01-28T05:34:34.140Z","Included","auto","No","2146","0","233472","1459","237077","Included"
"2026-01-28T05:33:16.913Z","Included","auto","No","2788","0","232704","1312","236804","Included"
"2026-01-28T05:32:15.014Z","Included","auto","No","2388","0","226816","930","230134","Included"
"2026-01-28T05:31:17.795Z","Included","auto","No","2753","0","219648","1402","223803","Included"
"2026-01-28T05:29:58.103Z","Included","auto","No","2305","0","214016","765","217086","Included"
"2026-01-28T05:28:18.500Z","Included","auto","No","2613","0","205568","1943","210124","Included"
"2026-01-28T05:22:25.963Z","Included","auto","No","65212","0","286208","2844","354264","Included"
"2026-01-28T05:17:06.633Z","Included","auto","No","4124","0","194816","1495","200435","Included"
"2026-01-28T05:15:29.991Z","Included","auto","No","2125","0","188416","597","191138","Included"
"2026-01-28T05:09:28.493Z","Included","auto","No","6211","0","175104","1298","182613","Included"
"2026-01-28T05:03:45.450Z","Included","auto","No","1535","0","110848","1065","113448","Included"
"2026-01-28T05:01:28.636Z","Included","auto","No","8384","0","147968","2202","158554","Included"
"2026-01-28T04:58:58.021Z","Included","auto","No","8189","0","123648","2013","133850","Included"
"2026-01-28T04:57:17.417Z","Included","auto","No","13323","0","125696","1659","140678","Included"
"2026-01-28T04:48:38.427Z","Included","auto","No","17862","14119","55552","9960","97493","Included"
"2026-01-28T04:39:52.912Z","Included","auto","No","7585","222020","587264","7424","824293","Included"
"2026-01-28T04:30:37.601Z","Included","auto","No","1130","221090","386048","7483","615751","Included"
"2026-01-28T04:21:58.836Z","Included","auto","No","4254","7857","779539","10412","802062","Included"
"2026-01-28T04:20:24.398Z","Included","auto","No","4996","10954","758034","6069","780053","Included"
"2026-01-28T04:17:26.104Z","Included","auto","No","177278","205401","369664","7997","760340","Included"
"2026-01-28T04:15:21.569Z","Included","auto","No","7401","0","519424","4248","531073","Included"
"2026-01-28T03:58:38.634Z","Included","auto","No","10259","0","493824","2603","506686","Included"
"2026-01-28T03:55:57.230Z","Included","auto","No","2976","0","318464","2337","323777","Included"
"2026-01-28T03:53:00.662Z","Included","auto","No","21291","0","1042176","6560","1070027","Included"
"2026-01-28T03:44:26.622Z","Included","auto","No","4723","0","407040","1402","413165","Included"
"2026-01-28T03:26:26.817Z","Errored, No Charge","auto","No","0","0","0","0","0","-"
"2026-01-28T03:16:40.834Z","Included","auto","No","127327","0","405248","1020","533595","Included"
"2026-01-28T03:13:50.853Z","Included","auto","No","7191","0","621824","1301","630316","Included"
"2026-01-28T03:13:10.388Z","Included","auto","No","3334","0","361216","735","365285","Included"
"2026-01-28T03:11:56.519Z","Included","auto","No","1174","0","238080","347","239601","Included"
"2026-01-28T03:10:33.944Z","Included","auto","No","1191","0","236032","662","237885","Included"
"2026-01-28T03:09:44.152Z","Included","auto","No","110780","0","357376","896","469052","Included"
"2026-01-28T02:18:53.222Z","Included","auto","No","3191","0","341248","1585","346024","Included"
"2026-01-28T02:18:17.564Z","Included","auto","No","5495","0","31232","391","37118","Included"
"2026-01-28T02:13:55.433Z","Included","auto","No","131846","0","383488","5391","520725","Included"
"2026-01-28T02:09:24.968Z","Included","claude-4.5-opus-high-thinking","No","22375","50","681392","15833","719650","Included"
"2026-01-28T02:06:43.723Z","Included","claude-4.5-opus-high-thinking","No","109245","26","217212","932","327415","Included"
"2026-01-28T02:02:42.978Z","Included","auto","No","65233","0","221440","982","287655","Included"
"2026-01-28T01:28:54.705Z","Included","auto","No","62885","0","294424","1626","358935","Included"
"2026-01-28T01:26:05.858Z","Included","auto","No","61594","0","339456","1101","402151","Included"
"2026-01-28T01:21:26.474Z","Included","composer-1","No","82354","0","703072","19103","804529","Included"
"2026-01-28T01:14:14.792Z","Included","auto","No","7563","0","71168","1252","79983","Included"
"2026-01-27T08:34:49.697Z","Included","claude-4.5-opus-high-thinking","No","9390","15767","557468","3127","585752","Included"
"2026-01-27T08:33:26.190Z","Included","claude-4.5-opus-high-thinking","No","95055","1005","326788","2292","425140","Included"
"2026-01-27T08:18:44.479Z","Included","claude-4.5-opus-high-thinking","No","91437","685","1568777","5505","1666404","Included"
"2026-01-27T08:15:19.345Z","Included","claude-4.5-opus-high-thinking","No","17677","187","449467","15865","483196","Included"
"2026-01-27T08:12:34.632Z","Included","claude-4.5-opus-high-thinking","No","3026","175","259685","1154","264040","Included"
"2026-01-27T08:11:34.348Z","Included","claude-4.5-opus-high-thinking","No","52","154","63399","730","64335","Included"
"2026-01-27T08:10:23.578Z","Included","claude-4.5-opus-high-thinking","No","3101","622","120829","154","124706","Included"
"2026-01-27T08:08:44.303Z","Included","claude-4.5-opus-high-thinking","No","2180","592","236313","1183","240268","Included"
"2026-01-27T08:07:31.945Z","Included","claude-4.5-opus-high-thinking","No","5403","851","279615","817","286686","Included"
"2026-01-27T08:03:49.792Z","Included","claude-4.5-opus-high-thinking","No","60255","670","215391","9592","285908","Included"
"2026-01-27T08:01:14.292Z","Included","claude-4.5-opus-high-thinking","No","8990","664","133446","2383","145483","Included"
"2026-01-27T07:59:34.292Z","Included","claude-4.5-opus-high-thinking","No","4568","856","80407","852","86683","Included"
"2026-01-27T07:57:58.240Z","Included","claude-4.5-opus-high-thinking","No","4864","1452","61203","1008","68527","Included"
"2026-01-27T07:54:18.512Z","Included","claude-4.5-opus-high-thinking","No","25023","7101","51210","6663","89997","Included"
"2026-01-27T07:39:23.335Z","Included","claude-4.5-opus-high-thinking","No","7648","595","234226","4254","246723","Included"
"2026-01-27T07:37:56.296Z","Included","claude-4.5-opus-high-thinking","No","6086","686","159742","3329","169843","Included"
"2026-01-27T07:36:44.354Z","Included","claude-4.5-opus-high-thinking","No","1174","539","73310","431","75454","Included"
"2026-01-27T07:36:00.698Z","Included","claude-4.5-opus-high-thinking","No","3979","854","101581","756","107170","Included"
"2026-01-27T07:34:21.673Z","Included","claude-4.5-opus-high-thinking","No","3679","885","89202","3082","96848","Included"
"2026-01-27T07:33:23.048Z","Included","claude-4.5-opus-high-thinking","No","15782","7095","26182","604","49663","Included"
"2026-01-27T07:29:31.663Z","Included","claude-4.5-opus-high-thinking","No","6977","814","185907","3338","197036","Included"
"2026-01-27T07:27:37.253Z","Included","claude-4.5-opus-high-thinking","No","15799","5106","75890","3560","100355","Included"
"2026-01-27T07:25:04.772Z","Included","claude-4.5-opus-high-thinking","No","7605","1002","225699","2575","236881","Included"
"2026-01-27T07:20:20.446Z","Included","claude-4.5-opus-high-thinking","No","73960","16395","86616","12247","189218","Included"
"2026-01-27T07:08:12.812Z","Included","claude-4.5-opus-high-thinking","No","46509","620","171229","2458","220816","Included"
"2026-01-27T06:50:37.711Z","Included","claude-4.5-opus-high-thinking","No","34542","1016","121426","8617","165601","Included"
"2026-01-27T06:18:53.431Z","Included","claude-4.5-opus-high-thinking","No","14368","4390","95451","5810","120019","Included"
"2026-01-27T06:17:02.375Z","Included","claude-4.5-opus-high-thinking","No","4874","3793","70761","850","80278","Included"
"2026-01-27T06:13:43.276Z","Included","claude-4.5-opus-high-thinking","No","10544","3558","63844","3092","81038","Included"
"2026-01-27T06:10:41.386Z","Included","claude-4.5-opus-high-thinking","No","4334","1173","275713","3021","284241","Included"
"2026-01-27T06:09:00.711Z","Included","claude-4.5-opus-high-thinking","No","7764","1962","394885","3137","407748","Included"
"2026-01-27T06:07:29.056Z","Included","claude-4.5-opus-high-thinking","No","2388","1284","255152","1026","259850","Included"
"2026-01-27T06:03:52.406Z","Included","claude-4.5-opus-high-thinking","No","2082","612","504969","896","508559","Included"
"2026-01-27T06:01:41.153Z","Included","claude-4.5-opus-high-thinking","No","114021","886","872720","2746","990373","Included"
"2026-01-27T05:59:58.621Z","Included","claude-4.5-sonnet-thinking","No","108678","7028","121525","2883","240114","Included"
"2026-01-27T05:58:48.959Z","Included","claude-4.5-haiku","No","107783","7751","203063","2863","321460","Included"
"2026-01-27T04:55:18.723Z","Included","claude-4.5-haiku","No","86630","6167","101295","593","194685","Included"
"2026-01-27T04:44:15.951Z","Included","claude-4.5-haiku","No","79693","2388","97437","1413","180931","Included"
"2026-01-27T04:43:02.698Z","Included","claude-4.5-opus-high-thinking","No","1622","613","176788","918","179941","Included"
"2026-01-27T04:42:01.620Z","Included","claude-4.5-opus-high-thinking","No","8763","597","166682","688","176730","Included"
"2026-01-27T04:37:22.935Z","Included","claude-4.5-opus-high-thinking","No","75560","5284","176149","2239","259232","Included"
"2026-01-27T03:49:35.079Z","Included","claude-4.5-opus-high-thinking","No","65629","2913","360233","16487","445262","Included"
"2026-01-27T02:11:25.392Z","Included","claude-4.5-opus-high-thinking","No","46361","11161","1127681","24640","1209843","Included"
"2026-01-23T08:55:15.733Z","Included","claude-4.5-opus-high-thinking","No","2590","375","129629","247","132841","Included"
"2026-01-23T08:53:21.266Z","Included","claude-4.5-opus-high-thinking","No","10175","465","355923","3924","370487","Included"
"2026-01-23T08:50:38.962Z","Included","claude-4.5-opus-high-thinking","No","43024","503","465251","4075","512853","Included"
"2026-01-23T08:46:46.432Z","Included","claude-4.5-opus-high-thinking","No","24880","272","238607","3038","266797","Included"
"2026-01-23T08:31:21.311Z","Included","claude-4.5-opus-high-thinking","No","173637","502","553590","2460","730189","Included"
"2026-01-23T08:09:38.899Z","Included","claude-4.5-opus-high-thinking","No","156889","490","2387112","17377","2561868","Included"
"2026-01-23T08:02:46.394Z","Included","claude-4.5-opus-high-thinking","No","1298","435","141816","836","144385","Included"
"2026-01-23T07:55:52.196Z","Included","claude-4.5-opus-high-thinking","No","22760","644","2256347","9555","2289306","Included"
"2026-01-23T07:46:53.692Z","Included","claude-4.5-opus-high-thinking","No","54974","794","2579009","20281","2655058","Included"
"2026-01-23T07:42:07.696Z","Included","claude-4.5-opus-high-thinking","No","104732","396","617778","11614","734520","Included"
"2026-01-22T10:04:29.718Z","Included","claude-4.5-opus-high-thinking","No","47149","957","614843","8325","671274","Included"
"2026-01-22T09:55:23.268Z","Included","claude-4.5-opus-high-thinking","No","158819","178","346912","2593","508502","Included"
"2026-01-22T09:53:55.152Z","Included","claude-4.5-opus-high-thinking","No","8870","784","802071","2446","814171","Included"
"2026-01-22T09:49:38.520Z","Included","claude-4.5-opus-high-thinking","No","4951","194","774513","2824","782482","Included"
"2026-01-22T09:46:06.979Z","Included","claude-4.5-opus-high-thinking","No","8513","837","891214","3410","903974","Included"
"2026-01-22T09:41:21.843Z","Included","claude-4.5-opus-high-thinking","No","132911","939","2172056","8237","2314143","Included"
"2026-01-22T09:19:39.346Z","Included","claude-4.5-opus-high-thinking","No","112804","1113","2003368","9317","2126602","Included"
"2026-01-22T09:15:59.073Z","Included","claude-4.5-opus-high-thinking","No","89630","154","110218","1079","201081","Included"
